,review,condition,drugName
633,"""*Sebaceous Hyperplasia*, The one change I am most thrilled about is it got rid of all of my sebaceous hyperplasia (enlarged oil glands) bumps within the first week! I started getting these hard bumps about  years ago and  days ago, I had about  of them around my hairline and some on my chin, forehead, and cheek and my chest was starting to get super bumpy, today (day  on Accutane) I don&#;t have a single bump.
*Acne* As far as my acne, I am definitely having a flare up and it feels like all of my blackheads are being pushed out and so my skin feels very bumpy, but as of about  days ago I don&#;t have to blot anymore and I can go  days without washing my hair.""",0,5
688,"""Been on Tramadol off and on for minor headaches and issues with Iliotibial band syndrome and arthritis. Basically since it is controlled it is a lot harder to obtain from a doctor and is also considered the new &quot;painkiller&quot; in ER&#;s or doctor&#;s office unless you have a broken bone. In all honesty it helps my leg and lets me focus at work. I&#;ve tried the norco and vicodin es,also lyrica and gabapentin but I&#;m not a fan. I dislike the nausea feeling and the grogginess. But at the same time everyone is different some people can stand this medication and some people cannot. I would recommend to those who have less major pain and do&#;nt need it all the time.""",4,7
771,"""I have been on this anxiolytic longer than any other, &amp; I feel that it works the best at controlling my panic attacks.""",2,2
781,"""Started Vyvanse (mg) about  years ago, and still on it to this day! I am extremely more concentrated, and have more motivation throughout the entire day. This medication saved my life, and I have not looked back every since! Plus you loose weight, so that&#;s a plus (:""",1,6
877,"""I have to weigh in about this med.  When you first start it, it is a wonder drug.  At some point, you will either need more, or you will suffer from tolerance withdrawals.  There are justifiable horror stories about this drug. Taking it for a week or two, no problem.  More than  weeks, it&#;s hard to get off it.  I have been weaning off for about  months.""",3,2
899,"""It seems to work for generalized anxiety when taken in large doses twice a day (for me anyway). It does seem to cause weight gain though.""",2,4
946,"""Because I am a recovering alcoholic it is crucial for me to find non-narcotic treatment for the persevering pain of my chronic pancreatitis. I was feeling a bit hopeless with the repeated prescriptions of pain meds (which of course offer only temporary relief, and for me a danger of over-use), until my GI prescribed me Gabapentin. This med has been incredibly successful in mitigating my pain, while also giving me huge energy (I&#;m a consistent runner so this factor is welcomed), and allowing me to move forward with my sobriety. I give it four stars, though I realize like anything, it&#;s not for everyone. That said, good luck to you all with finding what works.""",4,4
1066,"""This is an exceptional medicine. I have been on it for only a couple of weeks. I have tried Seroquel, trazodone, Ambien and none of these have worked but alprazolam is a miracle medicine.""",2,1
1116,"""I take  mg x a day and I feel the best I&#;ve felt in  years. Nothing has worked to calm my anxiety like Gabapentin including Klonopin or Xanax. I&#;m happy, relaxed, motivated and most importantly my appetite for alcohol which I used excessively to calm my anxiety has completely disappeared. I hope I can take this medication for forever. Life is finally good again.""",2,4
1128,"""I have realized after my child started taking Vyvanse, her grades improved dramatically! She is able to concentrate and pay attention to what is going on instead of being confused. This medication has been working great for her and we have not had to up the dosage. It was very scary at first, however, it turned out to be a great decision.""",1,6
1171,"""I have been taking clonazepam . MG&#;s once daily if needed for over a year now, and let&#;s just say this medicine has done wonders for me! I suffer with horrible panic disorder as well with agoraphobia without clonazepam I probably would never be able to leave my house, I only take it when I need it which is usually three times a week depending but just knowing I have it helps calm me down, I am also on Zoloft mgs and the combo works great for me!""",2,2
1319,"""I have recently been put on Tramadol for chronic migraines, in conjunction with a daily preventive medicine. I did not experience any euphoria, nor do I have any problems when I don&#;t take it.  The problem is, I don&#;t receive any pain relief from my migraines when I do take it.  I&#;ve tried so many different medicines and was hoping this might be the answer. I was wrong.""",4,7
1342,"""Don&#;t start this drug for sleep or anxiety!! It&#;s the most addicting drug on the face of this earth. It&#;s more addicting than heroin. I was given this drug and OMG it made everything so much better. Sleep, no anxiety then WHAM it quit working. I had to up the dose from . mg to  mg then when  mg was no longer working my psyche Rx me seraquel bc I couldn&#;t sleep. BIG mistake now I&#;m dependent on yet another drug that quit working last year ( after  years) now I&#;m on disability for IBS, IC and pelvic floor dysfunction bc I took these drugs. Oh did I add I had to be put on another drug to help sleep so I&#;m polydrugged. What I&#;d do to have my life back. Don&#;t ruin your life. Klonopin is poison! """,3,2
1355,"""I started this med after I found out my husband had affair. I was lost, didn&#;t want to live. All I wanted to do was cry. Been on this medicine for around  months,  mg to start w/ now up to mg. This medicine has been a lifesaver for me. It has even helped save my marriage. I have Been the happiest I have been in awhile! I really love this medication, I finally got myself out of the darker place I was in, the place I hope to never go back to. I&#;m feeling much stronger day by day. Still have a few moments where I think about what he did but I can deal with it, we deal with it. My depression is about completely gone, my work at my job has improved, I can socialize with others now with no problem. Life is looking better.""",2,3
1380,"""I&#;ve been on gabapentin for several yrs &amp; it was originally for back pain. I had my L/ disc fused then  years later had a spinal cord stimulator put in.  surgeries later NO RELIEF AT ALL. I&#;ve been on  MG x&#;s a day. But recently my neurologyst decided that I should actually take  MG x&#;s a day because I&#;ve been suffering from migraines since age . The thing that I&#;ve noticed is that my memory is off. I will be in a drive thru &amp; have a list of items that I want off the menu &amp; as soon as they ask me what I want, I draw a blank &amp; look at my son like &quot;HELP&quot; At first I didn&#;t think anything of it but now it&#;s becoming habit. Why??""",4,4
1410,""" years old. I experienced acne since  on chest, face, neck, and extending to my entire back. Beginning my third month of Claravis and I have ENTIRELY been cured of my acne. I no longer have any pimples and I don&#;t wear makeup anymore. It&#;s incredible. 

Side effects: chapped lips. First month: Fatigue""",0,5
1434,"""I DO NOT RECOMMEND THIS DRUG! I like many of you really from what I have read had a great experience AT FIRST. I am  years old and do sales for a living. I was on cloud nine towards the beginning trail of this prescription. I was able to concentrate more than I had in months and was more motivated to go out and look for new leads for my company. I found that I would get dizzy or a tab nauseous but I found that staying hydrated and always having a water bottle with me helped out. I developed a problem where I would know what I wanted to say but when I went to speak it didn&#;t come out right and literally made me sound like I was high or drunk. VERY SCARY!""",1,6
1583,"""I am on a maintenance dose of  mg  times a day along with a different Xanax . if I am having a panic attack. I&#;m agoraphobic and suffer from anxiety because of multiple reasons. I find klonopin is a amazing medication that helps tremendously. I wouldn&#;t have the life I have today.""",2,2
1635,"""I suffer from hypochondria and panic disorder. I was so afraid to take medication. After  years I finally took Cipralex. It has made my anxiety a lot more tolerable. I&#;ve had a few major panic attacks but overall good experience. I&#;ve been on mg for  years.""",2,3
1678,"""Works great. Side affects made me not take it anymore""",4,4
1728,"""LOVE IT. I took Strattera for  yrs but switched because of terrible nausea and anxiety. The first  months I had terrible migraines, lack of appitite &amp; trouble sleeping. Keep taking it daily to give body time to adjust. No side effects now and huge HUGE improvement in work, concentration and motivation.""",1,6
1769,"""I&#;ve been on Lexapro for maybe . years, and this drug has worked pretty well in reducing my anxiety and depression. I started on mg which may have helped a tiny bit, but I still felt awful. A month or two after having my dose increased to mg, I started to feel better. Lexapro helped me lift myself out of my ~ month long period of anxiety and depression, but I wasn&#;t &quot;cured.&quot; I still have mental issues which I need to work on. 

In terms of side effects, there were almost none. I got headaches right when I started and also after going on mg, but they only lasted a few days. I also find my long-term memory is a bit worse, and time seems to fly by faster.

Oh, and it&#;s super cheap if you can get the generic version.""",2,3
1780,"""Took severe pain away. Hand and neck arthritis. Take with  Tylenol or ibuprofen  every other dose for best relief. Brand name ultram  mg every - hrs if needed. For me, took most pain away! Better than vicodin and not sure why but so happy I have it. Cons: occasional nausea and big time constipation-take with laxative or colace. I started pill slowly- two mg per day over period of a week and worked up to   x per day over  weeks.""",4,7
1792,"""I was extremely against Xanax because of knowing people who abused it, and being someone who will try homeopathic cures before using prescriptions. That said, it really helps me. I have anxiety I would describe as anywhere from mild- severe depending on the day, and week. But sometimes I get in these intensely anxious thought patterns, where I cannot let go, its terrible.Taking medication during these periods is a god-send. It allows me to return back to my normal non-anxious self. I rarely have noticed sleepiness as an effect of the medication- only when I was already sleepy before taking it. If you don&#;t abuse your dose, it shouldn&#;t cause you to feel out of it or have memory loss, if you truly suffer from anxiety. That&#;s my experience""",2,1
1919,"""All I can say is WOW! After the birth of my son, I developed insomnia and anxiety. I placed a lot of pressure on myself to get enough sleep and the result was not being able to sleep. In addition, I have very high expectations of myself. I work from home and was studying at the time. From this, I caused so much anxiety for myself to the point where I couldn&#;t control my thoughts and feelings. I was prescribed Zoloft which probably made me more anxious and I was on that for a year. My GP switched me to Lexapro  months ago.  On this med I feel like a different person. Happy, no anxious thoughts, I am sleeping like a log and am dreaming! I haven&#;t dreamt in years and it&#;s lovely! I have had no side effects on this drugs :)""",2,3
1972,"""Initially took it for shingles pain but found it to be great for sleeping and for settling down my occasional restless legs syndrome.""",3,4
2020,"""I had really bad acne and went to see a Dermatologist in July . After liver function tests I was put on an increasing dose to mg. It did wonders and got rid of the really bad areas in  months. I have had a few spikes but nothing as bad and take pulse doses of mg three times a week.""",0,5
2022,"""Been on Lexapro for  days.  Horrible nausea, headache.  My husband asked the pharmacist about help with this.  She recommended an over-the-counter liquid called Ematrol.  Used by children and adults.  It helped.  Also sipped ginger ale as needed.  Feel very out-of-body, shaky but trying to stick it out as everyone seems to say the first day/week is hell, but then all is good.  Am continuing on Klonopin, per my psychiatrist&#;s recommendation, until the Lexapro kicks in.  Will try taking it at night, as this seems easier to &quot;ride out&quot; the side effects through sleep.""",2,3
2041,"""My daughter just turned  years old and we started her on Vyvanse about  months ago as she was diagnosed with ADHD. After two months (this week) I called the doctor and stopped the medication as she has lost so much weight from not eating, and was sleeping ALL THE TIME! My daughter never took naps and would wake up at : a.m. religiously every morning on her own, but after we started her on the medicine, she falls asleep standing up and cannot wake her up in the mornings. We fight just to get her to eat things she likes and to no prevail. I know it might not be the medicine for her and in fact I am going to try a Non-Stimulant ADHD medication before we stop these medicines over all. """,1,6
2051,"""Been taking for a couple of weeks works good for me just had open back surgery  weeks ago with cage put in L-  FUSION, cut out stenosis of spine have degenerated disc disease, take  pills mg a day with extra strength Tylenol if I need it.  more weeks I want to come off all these pills if I can handle the pain. Good luck guys.""",4,7
2053,"""My name is Sydney and I&#;m  junior in high school. I started Vyvnase in Feb. this year. I started out on  mg, then went up every ten mg and now im prescribed mg.
In the first week I was using Vyvanse I noticed a huge difference in everything. I could focus so much more on every thing. Comparing my st semester and nd semester of high school last year, I had an F and failed one class and had mostly B&#;s and C&#;s. My second semester of last school year when I started taking the Vyvanse my grades increased amazingly. Almost all A&#;s and B&#;s. 
Since I suffer from ADD, Vyvanse has made such a great impact on my life.""",1,6
2090,"""Lexapro has changed my life! I no longer have anxiety attacks, and I have control over my emotions. I wish I had started taking it years ago!""",2,3
2123,"""I am  yrs old and work and am a full time nursing student. This medication has affected my personality. I am usually a bright bubbly person and don&#;t take anything too personal. After a week of this medicine ( mg) I noticed I&#;m snapping at people over absolutely nothing. I feel like I&#;ve become bipolar, one moment I&#;ll  be beyond happy and focused, the next irritated, then angry. Then crying over nothing. I&#;ve become mouthy to my instructors and don&#;t like long conversations anymore. People seem to irritate me and there&#;s only a few that I can stand being around for a long period of time. I&#;ve already made mean remarks to some of my fellow students, which isn&#;t me at ALL. Maybe this medication isn&#;t for everyone.""",1,6
2124,"""I&#;ve been taking low dose .mg xanax for a few years for social anxiety and occasional panic attacks. It&#;s excellent. I take it as needed, which I like, it lets me feel more in control. I rarely take a full dose. It&#;s very effective even in a lower dose. It just lets me keep anxiety under control so I can function well. I never notice any major fogginess or anything with it either unlike other benzos I&#;ve taken like ativan. Just in moderation. A little goes a long way. Absolutely great medication for anxiety and occasional severe panic attacks. It has completely helped me build my confidence up and get my life back!""",2,1
2126,"""I started taking this medication about four years ago, stopped maybe two or three years ago. Great success, my acne vanished and I have only had acne one time since, when I accidentally used moisturizer on my face. Only side effect I had was dry skin (mostly just chapped lips), which is to be expected, but it is pretty much back to normal now.""",0,5
2150,"""Only med that has ever really worked for me. I&#;ve tried every holistic approach to treat my anxiety, taking a . takes the edge off like nothing else. I&#;m afraid to take meds but taking xanax doesn&#;t make me nervous. I only take it when my anxiety and panic come back, sometimes I have it under control for long periods of time. I read a lot of negative things about becoming addicted and the withdrawal effects but most of us who really suffer hate taking meds. We rather get better with no drugs. It helps me calm down so I can think clearly and get through the day or night. Wanted to post something positive for those who are afraid to take it.""",2,1
2152,"""Been taking Neurontin for several years now, from mg down to mg a day, after my sciatic nerve got damaged during st back surgery. Tried many medicines, no relief, doctor put me on clinical dose of mg a day, many side effects. Down to mg a day, awesome, was able to walk and live(no work). Back got worse, needed nd surgery and had to get off some medicines, getting off Neurontin was the WORST WITHDRAWALS.  months after doctor&#;s put me back on Neurontin but only mg. Still on Neurontin today and still working awesome. No side effects, low dose on all medicines keeps side effects down. Just watch the WITHDRAWALS.""",4,4
2351,"""I have been taking this medicine since i was in the th grade! I am now  years old. This medicine made me feel like i could actually sit in class with out falling asleep or not being able to concentrate. It&#;s a great feeling to actually get everything done. Yes it does cause dry mouth and you may not eat like you used to. However you have to make yourself eat something other wise you can cause your blood sugar to drop witch would cause headach and nausea. With time you do get used to the medicine and you will get your appitite back. I&#;m on mg. On days i dont take it im like a walking zombie i dont feel like doing anything i cant concentrate and i will most likely eat all day long. I&#;m more activie when i do take it! I love it !""",1,6
2352,"""I take either  gabapentin and  zzzquil or  gabapentin and  zzzquil and I sleep like a baby all night! I normally fall asleep relatively quickly and wake up around  or am with terrible back pain and am practically up the rest of the night. Ever since this combo I have finally found rest! The  on their own did nothing for me just fyi""",3,4
2383,"""My son went on Isotretinoin for  months. He took  mg/ day for the first month and  mg for the next  months. He tried every other acne medicine and nothing worked until he started isotretinoin. His acne was clear by the third month. He had very dry lips and dry skin. The worst side effects was joint pain. He was , a runner and soccer player. It got to the point where even with ibuprofen, he was unable to play soccer or run track without a lot of pain. This is a hard price to pay for a high school athlete, and yet, now his skin looks great. The dermatologist has told us it is likely he will have  clear years and then he may have to start over again. I look back at before pictures and am so grateful this medicine was available.""",0,5
2407,"""I&#;m taking it for Pain From Joint Hypermobility Syndrome. Wonderful medication aside from a little minor increase in agitation/irritability""",4,7
2616,"""About a year ago I lost  pounds in  week, two pounds more the next week. I couldn&#;t sleep and constantly felt nauseous. My doctor ran every test under the sun and came back with only one conclusion:  panic attacks and severe anxiety. After I got past my initial thoughts of thinking he must be a total idiot, I asked for Lexapro.  I did  mg the first week, moving up to  the week after.  As my MD warned, the anxiety initially increases, so keep the Xanax handy. Two weeks into it I started having longer and longer periods of normalcy. Then, on week three it&#;s like it suddenly stopped and sent me into a tailspin right back to where I started from. My Pscyh told me to go to mg because I didn&#;t have quite enough. Worked like a charm!""",2,3
2661,"""I took Klonopin daily for about a year due to a bout with anxiety and depression. I was put on an AD and added this after a few weeks as the AD was not helping my anxiety or depression. I took .-.mg twice per day most of the time and had to change my AD twice over the first several months to get on the right one. Klonopin helped me alot during this time. I finally went back to Pristiq which had worked several years prior for me and after a few months was back to myself and with my Dr&#;s OK I weaned off of the Klonopin and have been of it completely for almost two months now. I was terrified to stop it since I heard so many horror stories of benzo withdraw but I had no withdraw just as my Dr. had thought. Good luck!""",2,2
2683,"""I absolutely love this medication. I am prescribed mg  times daily and it helps me so much with my anxiety. I was switched from lorazepam to Clonazepam, and the Clonazepam helps so much more than the lorazepam did. It truly helps me get by with everyday life.!""",2,2
2709,"""I was given this medicine in hospital to help with pain/nerve damage after a ruptured disc. BEWARE it made me suicidal! I am a normal, healthy person but after a week or so on this, I started sobbing almost all the time and was in total despair. Fortunately, my husband worked out what the stimulus was and I was told to stop taking the medicine immediately. This was recommended as the withdrawal effects would be better than carrying on with it and weaning off. It took a couple of weeks but I could only have close friends around who understood that at any moment, a wave of crying would over take me but wouldn&#;t last.""",4,4
2738,"""This medicine did not touch my pain, and it gave me insomnia as well.""",4,7
2756,"""I was put in a mental hospital (Involuntarily) and was given alprazolam mg bar as a anxiety med. This med completely knocked me out. When I woke up I didn&#;t have any idea what I had done before I took the pill and I didn&#;t remember falling asleep. I think this medication can be really dangerous if not taken responsibly and I would not recommend this medication at all.""",2,1
2791,"""Take it from me that has chronic pain for over  years and will try anything to get out of pain. My doctor gave me a prescription for gabapentin and wow what a nightmare after years of taking it!! your will lose your memory!! Please take some advice get off it as soon as you can. This will ruin your life or memory that is for sure. Just remember you have been warned. It does not work for pain or nerves like they say!! it;s a shame it took me so many years to get away from that junk!!!!!!!!!!!!!!!""",4,4
2813,"""My psychiatrist put me on gabapentin for my headaches and insomnia.  I was waking up in the middle of the night and having a hard time falling back to sleep.  This drug along with putting up heavy curtains to block all light and noise saved me.  My headaches are gone and I sleep normally now.  Good drug.""",3,4
2846,"""I was in a car accident in  I had  surgery but need another one, I can not afford to be off work right now so I went to a pain dr who first gave me the shots which only gave me relief for  days then he gave me tramadol, and it is a joke I took  mg with in  hr and it only gave me slight pain relief, the dr wanted me to take  mg every  hrs, that is a joke, I am calling him tomorrow and telling him this stuff DOES NOT WORK...what  is made of?""",4,7
2850,"""I was in an accident that affected nearly every part of my body. After using this medication, the relentless pain from neck, lower back, arm, leg, rib and multiple pelvic fractures combined with considerable nerve damage was reduced to the point that I could begin therapy and resume some normal activity in my life.""",4,4
2878,"""I am extremely satisfied with this medication. I took it for  months, and at my peak I was prescribed mg twice a day. It took about . months to start noticing results. I have now been off it for  weeks and wow! My skin is % clear. I&#;ve had acne since I was a teen and after failing other options such as antibiotics, I was placed on Claravis. You will have chapped lips. I had to apply aquaphor (really good chapstick) every  minutes. Other side effects I had were nosebleeds, dry skin, eczema, rashes on my hands and arms, very sore muscles, sore chest, and any scrapes I got took absolutely forever to heal. I felt sluggish, sort of like I had the flu for  months. However, having clear skin was definitely worth it!""",0,5
2962,"""Lexapro is good it has really helped to calm me down. The first few days have been tough I have been nauseated, I have lost my appetite, I&#;m restless, but overall it really is making a difference and I have only been on it a few days. It hasn&#;t helped my depression yet, but I have been told it takes a while.""",2,3
3043,"""Recently I had a rough bout with anxiety.  From out of nowhere I just lost faith in myself due to some life circumstances and an overload of work. I was losing sleep and spiraling downward at an amazing rate.  I decided to talk to my doctor who prescribed Klonopin.  With the first dose I felt immediate relief and to avoid dependency I only took . mg at night until I was started on an SSRI. My doctor favored the SSRI approach as better in the long run. After three months on Klonopin every day, and after the SSRI kicked in, I stepped off the Klonopin without any withdrawals like you read about on the internet. I think the key is to take the lowest dose you can or only as prescribed. The medicine worked wonders for me!""",2,2
3068,"""Took Tramadol for excruciating back pain. Worked marvelously for three weeks, pain % decreased, but affected my judgment as I saw events and people in an unrealistically positive way.  After  weeks, I started imagining blacks ghosts at night, got depressed and negative, my face felt like sunburned at night, nausea. Needless to say, I stopped taking the drug, withdrawal made the experience worse, I am back with pain waiting for surgery. BAD DRUG!""",4,7
3128,"""I spent almost three years dealing with unbearable tingling and burning around my shoulder blade until I just couldn&#;t take it anymore. My GP prescribed me Gabapentin in the hopes that it would put a stop to it, and it did. It took less than a week for me to feel total relief. I&#;m not saying it&#;s a wonder drug that will work for everyone, but in my case, it&#;s been a lifesaver.""",4,4
3158,"""I&#;m  years old and was diagnosed with ADD when I was about  years old. Since that time I&#;ve been on and off a variety of medications from Ritalin, Adderall, and most recently Vyvanse which I&#;ve been on for a year and am currently taking mg a day. It helps with my alertness and attentiveness, but I have some of the side effects like extremely dry mouth and little if any appetite. I am currently working during the day and take graduate classes at night and notice that the medication does not last the entire  hours, I&#;ve been taking it later in the day so that I&#;m able to concentrate in class. Since I began taking the medication I have seen an increase in acne, previously I had minor occasional breakouts.""",1,6
3328,"""I have been using tramadol for three months.  I herniated two discs two years ago.  I have found tramadol very effective and I do not suffer from any of the side effects.  I take mg per day.  It is a brilliant pain relief and is serving me well.  I reduced my dose when the pain I experienced between doses eased and I didn&#;t have any side effects.  I am also taking fluoxetine and gabapentin (as a pain relief).  It works well for me.""",4,7
3414,"""Helped mildly shortly""",2,1
3568,"""This medication saved my life! Better than any anti-depressant I&#;ve ever tried (and I&#;ve tried A LOT). Currently on it to help with my ADHD and Manic Depression (Bipolar )


Side effects are small and definitely worth it (to me, at least). Dry mouth and decrease in appetite.

I&#;ve also lost  pounds since I&#;ve been on it (Went from  pounds to *currently*  pounds)""",1,6
3573,"""I am  and I am beginning year . over summer break I decided from years of acne and expensive spot products I wanted to make a change to my confidence by taking accutane I&#;m only just finishing the st month of the drug and I was expecting fast working treatment but don&#;t be disappointed if it doesn&#;t work in the first few weeks because mine didn&#;t. I get painful spots across my chin and on my back and chest, and I wouldn&#;t go out the house without a face full of foundation or a top that covers my chest and back. Since I have been taking the drug I have noticed the redness on my chin has calmed down. And the spots on my back are practically gone! I hope this helps :)""",0,5
3628,"""I am now in my th week on Amnesteem &amp; my face is smoother than a baby&#;s bottom! I feel great. Super dry all over but it&#;s worth it!!!""",0,5
3664,"""I fell at work on my knees and have had severe pain ever since.  I have been using  mg Ultram (Tramadol) for about  months and I can honestly say that I am able to function at work and during my daily life.  I have been on hydrocodone and Lortab and both of these medicines make me sleepy and just out of it all day. Ultram helps me quite well but after - hours I am ready to take another one.  Dosage is  times per day/every - hours.  My family is happy and so am I.  I would recommend this medicine, it truly works.""",4,7
3726,"""This medicine is great. I instantly start feeling calm from head to toe. I like the fact that I don&#;t have to wait  minutes or so for it to kick in. I would recommend this to anyone that needs to have a day life. I also like that I can take it and still function at work.""",2,1
3822,"""My experience with accutane was for the most part very positive. I suffered from breakouts on my forehead that wouldn&rsquo;t go away no matter what I tried. I had taken various kinds of birth control over the years to help with my break outs but by the age of  it wasn&rsquo;t helping with my acne at all anymore. The first week or so of taking accutane I got what looked to be a rash on my whole face that was hot to the touch and sore. I felt like I had alligator skin! The rash went away though within a week or two and then the dry skin started but it was nothing I couldn&rsquo;t keep on top of. I used a vitamin e cream to keep it hydrated. I only did one round of medication and it seemed to do the trick. The dry skin is so worth it!!! My skin is beautiful!""",0,5
3832,"""I was on  MG of zoloft for  years, and went through a stressful point in my life. I became depressed, crying every hour and wouldn&#;t leave my house. I went to the doctor and he said the zoloft wasn&#;t working anymore and wanted to switch me to lexapro (escitalopram). The withdrawal from stopping zoloft was brutal, but my lexapro started working within a week. I am now on week two and feel amazing. I am going places, and not as tense as normal. The only downside is I&#;m very irritable but hoping that goes away soon""",2,3
3851,"""Good medicine, it gets rid of your pain without that drowsy sick feeling. """,4,7
3858,"""My Dr. Prescribed Gabapentin for insomnia because she didn&#;t want me to use NyQuil or even low dose xanax. Trazadone made me feel hung over so I wouldn&#;t take that. I tried a couple times to take one mg capsule - which did nothing.  Then I tried  capsules as  it was prescribed as - capsules. I laid sleepless until am. I felt as if someone had turned the radio volume completely down but didn&#;t turn it off. I laid with a silent and blank mind but could move into sleep. Once I fell asleep I slept until am when my alarm went off. I felt completely drugged, dizzy, disoriented and even once I was at work I could not remember the names of the physicians I work with daily. I didn&#;t feel safe to drive or care for my patients. Never taking it again.""",3,4
3934,"""I had back surgery in  and I have severe leg and foot pain ever since. Since that time I have been on Ultram and am pain free. I know they just classified it as a narcotic, where I live, a year ago. It&#;s a shame because I&#;ve been on it for  years and have never felt better. It is addictive because when I go for longer than  hours without it, I have withdrawals but I&#;ve been on it for  years so it is to be expected. I highly recommend this drug.""",4,7
3940,"""Life saver for my anxiety""",2,3
4052,"""My pain left but the medication left me quite nauseous.""",4,7
4060,"""It&#;s really a miracle for oily greasy face. I love it.""",0,5
4066,"""I&#;m on the rd month of taking lexapro , started off with .mg every night for about a week, then upped to mg and when I saw my doctor again  weeks later he told me to try the mg and I have been on mg ever since. At first it&#;s none stop drowsiness weird random dreams and anxiety and insomnia at night. For a good - weeks , but after that it&#;s cravings and you eat more and calmly and it gets better! It has work wonders! Hopefully it continues to work!""",2,3
4122,"""I&#;ve only been taking gabapentin ( mg x  per day) and tramadol ( mg x  per day) for one week.  I don&#;t know which is working or if they are properly working in conjunction with each other, but I have felt some relief so far for pain (a vascular necrosis, osteoarthritis of the hips -- and lumbar L).  I, too, have noticed positive side effects, such as sleep aid, less anxiety, hope for the future.  I was able to walk a few blocks to the store while only needing to stop a few times.  """,4,4
4147,"""On Lexapro  months now. I almost never want Xanax anymore, and I am sleeping better than I have since I was a teenager (I am ). Two negative results: sex drive has decreased markedly, and I&#;ve had a % weight gain. But even with these two factors, I would never consider going back to the person I was before Lexapro.""",2,3
4189,"""My son is  and has always been super sensitive to these meds- he was diagnosed at  ADHD. We started with concerta- he lost  lbs in  weeks. We switched to a slow release methylphenidate.  At Christmas, it was felt that maybe he needed something different- his last increase didn&#;t seem to be helping. That&#;s when we started vyvanse. I have seriously mixed feelings about this drug. There is some control of the hyperactivity component but he&#;s grouchier, more argumentative and not really more productive. Is it age and adolescence?""",1,6
4198,"""I&#;m a  y/o female that had been dealing with mild acne four about a decade (rarely cystic). I&#;ve been on Accutane for about a month and a half and my face is almost perfect. It&#;s done wonders for my confidence - I can even go out without makeup now. The only side effect I have is severely chapped lips (like, SEVERELY) - BUT - the risk far outweighs the results. I have recommended this medication to so many people.""",0,5
