,review,condition,drugName,card2vec
482,taking klonopin many years started weird feelings like going die kept ending er doctors kept telling anxiety didnt understand anxiety would make feel way anxiety would kick literally thought dying heart would race body would get tingles would feel chokingness scary still tried many many anxiety medicines paxil effexor xanax lamictal geodon many none worked way klonopin works klonopin feel safe get jittery feelings grateful medication actually works miss dose get severe anxiety panic attack,629,1783,"[0.2811983525753021, 1.8991127014160156, -0.9653976559638977, -0.134370818734169, 1.0136919021606445, -0.45928454399108887, -0.5933828353881836, -0.6051575541496277, 0.6096610426902771, 0.5478392243385315, -0.3755410611629486, 1.1797184944152832, -0.8138031959533691, 0.7986746430397034, 0.1389569342136383, -0.7203150391578674, 0.5408453941345215, 0.1497761309146881, 0.14852505922317505, -0.07046569138765335, 2.5558485984802246, -0.5835448503494263, 0.9633611440658569, 0.5106555223464966, 0.9101566672325134, -0.6981222629547119, 1.318795084953308, -1.5269381999969482, -0.3188025653362274, -1.0078961849212646, 0.7111048102378845, 0.08497501164674759, -1.355230450630188, -0.8395751714706421, 0.5680637955665588, 0.1288221776485443, -0.30173900723457336, -0.41379278898239136, -1.274492621421814, 0.3222135901451111, 0.8787922859191895, -0.22109606862068176, -0.13688652217388153, -0.7744715213775635, -0.19561539590358734, -0.8042546510696411, -0.098770871758461, 0.9262755513191223, 0.8720022439956665, 0.2807224690914154, -1.046606421470642, 0.7857636213302612, -0.3959963321685791, 0.3598698079586029, 1.6413748264312744, -0.22625592350959778, -0.6652876138687134, 0.5905824899673462, 1.3435356616973877, 0.3674077093601227, -0.8062396049499512, -1.3521695137023926, -0.6053992509841919, 0.42534899711608887]"
483,self medicating years tramadol suffer anxiety panic attacks depression taking way much tramadol cope life spending money didnt buy its miracle drug works great point sleep dodge things social im day  already feel pre depression returning oh also take vistaril panic anxiery really hits ive taken  mg lexapro one  mg vistiral morning feel great doesnt give euphoric feeling tram much better almost feel normal feel great already imagine much better itll get,131,1284,"[0.44411957263946533, 0.06642350554466248, -1.325287103652954, 0.7303164601325989, 0.10160815715789795, -0.2554430365562439, 0.6182378530502319, -0.18885226547718048, 0.29966747760772705, 0.4596438705921173, 0.42040500044822693, -0.009820832870900631, -1.4758050441741943, -0.6399515867233276, -0.5430110692977905, 0.9927988052368164, 0.3460268974304199, 0.43388938903808594, 0.2614976167678833, 0.2861340045928955, 2.6923389434814453, -0.7277272939682007, -0.28943881392478943, 0.44864851236343384, 0.6262373328208923, -0.25954505801200867, -0.4850521981716156, -0.8343832492828369, 0.6131076216697693, 0.346152663230896, 0.14998756349086761, -0.9496996998786926, -1.1599392890930176, -0.9684425592422485, 0.3892596662044525, 0.3444543480873108, 0.3165048062801361, -0.0051672388799488544, -0.9328887462615967, 0.4649338126182556, 0.3545686900615692, 0.26135507225990295, 0.5079227089881897, 0.5071537494659424, 1.0014103651046753, 0.42549216747283936, -0.28572872281074524, 0.8395175933837891, 0.4309960901737213, 0.08508586138486862, -0.19739294052124023, -0.12713679671287537, 0.1681797355413437, 0.518790066242218, 0.6022998094558716, -0.5221405029296875, -0.6643742322921753, 1.1583592891693115, 1.0629265308380127, 0.3292234539985657, -1.2807672023773193, -0.9906177520751953, -1.2165014743804932, -0.43274033069610596]"
484,ive three years period one every six months left horrible cramps arm still sometimes hurts inserted its great think get birth control,173,1315,"[-0.025110071524977684, -0.26237085461616516, -0.5431655645370483, -0.049992531538009644, 0.24300655722618103, 0.3166855573654175, 0.04195775091648102, 0.03396856039762497, -0.17420801520347595, 0.1196107342839241, 0.24798725545406342, 0.596782386302948, 0.13086678087711334, -0.880092203617096, -0.06731243431568146, 0.06271040439605713, -0.0007309623761102557, 0.18201503157615662, 0.41256946325302124, -0.03126824274659157, 0.079096719622612, -0.22534596920013428, -0.3751164376735687, -0.04018086567521095, 0.09356380999088287, 0.07474291324615479, 0.23570118844509125, 0.304849237203598, 0.6110134720802307, -0.1662694662809372, -0.44475051760673523, 0.5495902895927429, -0.3254930377006531, 0.08281174302101135, 0.48097994923591614, -0.020916728302836418, -0.003336361376568675, 0.29874545335769653, -0.39180049300193787, 0.2787645757198334, 0.583407461643219, 0.2244522124528885, 0.031012775376439095, -0.005399779882282019, 0.0024381917901337147, 0.363491028547287, -0.7220472693443298, -0.29604414105415344, 0.3527354300022125, -0.3649207651615143, -0.5123452544212341, 0.19086505472660065, 0.8600353002548218, 0.3360366225242615, 0.48396360874176025, 0.02276839129626751, -0.48271873593330383, 0.7084733843803406, 0.6899693012237549, -0.5160789489746094, 0.24179162085056305, -0.4727267026901245, -0.36284974217414856, 0.5722052454948425]"
485, weeks pregnant ended first uti prescribed macrobid allergic sulfa antibiotics landed hospital years back upon reading reviews incredibly terrified take medication choice ill consider lucky far found macrobid actually quite tolerable ive bit tired achy usual mild nausea nothing severe found taking full meal critical drinking tons fluid watergatorade helps side effects really reminder take reviews grain salt really idea body react try,853,2273,"[0.6803873181343079, -0.4070441424846649, -0.7365347146987915, -0.019800551235675812, 1.0729913711547852, -0.7189171314239502, 0.18710432946681976, -0.5829991102218628, -0.22124435007572174, -0.11343713104724884, 1.1763991117477417, 0.898702085018158, -0.948508083820343, -0.5674247145652771, -0.5381123423576355, -0.8498941659927368, 1.2204145193099976, -0.2905828058719635, 0.17295245826244354, 1.6554453372955322, 0.5068559050559998, 0.5171977281570435, -0.3824601471424103, -1.0161890983581543, -0.019747961312532425, -0.24308964610099792, -0.4362972378730774, 0.7559124827384949, -0.187801793217659, 0.09785960614681244, -0.3779582977294922, 0.370542049407959, -0.30673298239707947, -0.6053977012634277, 0.9375764727592468, 0.8922147750854492, -0.7992222309112549, -0.22805196046829224, -0.1746964305639267, -0.650351881980896, -0.5951798558235168, 0.1015506461262703, -0.060836147516965866, -0.6066661477088928, 0.0819847583770752, -0.14330992102622986, -0.45373088121414185, 0.6399880051612854, 0.1880033165216446, 0.8154094815254211, 0.1255156546831131, 1.2426748275756836, -0.01382600050419569, -0.6582856178283691, 0.9801255464553833, -0.19165301322937012, -0.4505772888660431, -0.2203705608844757, -0.2638246715068817, -0.6148470640182495, 0.1062193214893341, 0.7144190669059753, -1.1950569152832031, -0.8317574858665466]"
486,tried brand first time previous option makes drowsy back pointthe thing robitussin done caused gas random bowel movements help intended propose,248,895,"[-0.14883963763713837, -0.25062882900238037, 0.2617606222629547, 0.15363772213459015, 0.30030402541160583, 0.08645673841238022, 0.2621760666370392, 0.3116847574710846, -0.5612180233001709, -0.07709088921546936, 0.7909935116767883, 0.5046177506446838, -0.3251669406890869, -0.8376169800758362, -0.02237175591289997, 0.12961849570274353, 0.27940425276756287, 0.2516416907310486, -0.1485912799835205, -0.18350158631801605, 0.7291791439056396, -0.22177474200725555, 0.24668651819229126, -0.2897883951663971, -0.05902896076440811, 0.029048368334770203, -0.17661292850971222, -0.08980932831764221, -0.31586167216300964, 0.3985613286495209, 0.7211045622825623, 0.09017391502857208, 0.31083858013153076, 0.5388424396514893, 0.6173600554466248, 0.017947876825928688, 0.450567364692688, 0.5065057277679443, 0.21435439586639404, 0.30232706665992737, 0.009966284967958927, 0.25623801350593567, -0.507044792175293, -0.32833150029182434, 0.2345215082168579, 0.08374668657779694, 0.07501896470785141, 0.16470956802368164, 0.16750389337539673, 0.1611846387386322, -0.31006231904029846, -0.4533812999725342, -0.11450815945863724, -0.5998350381851196, 0.47153010964393616, 0.42165595293045044, -0.016344817355275154, 0.1469067484140396, 0.7907967567443848, -0.3047415018081665, -0.026545781642198563, -0.2310427725315094, -0.5217477679252625, 0.17188933491706848]"
487,tried brand first time previous option makes drowsy back pointthe thing robitussin done caused gas random bowel movements help intended propose,248,77,"[-0.05763597786426544, -0.15638524293899536, 0.329164057970047, 0.3019823729991913, 0.2961035370826721, 0.12232127785682678, 0.38418853282928467, 0.3074684739112854, -0.5286518931388855, -0.06371856480836868, 0.8764982223510742, 0.43421366810798645, -0.2771693468093872, -0.7799389362335205, 0.018936127424240112, 0.07204839587211609, 0.28797000646591187, 0.19551098346710205, -0.009264812804758549, -0.054654091596603394, 0.6317434906959534, -0.16947785019874573, 0.2246568202972412, -0.3299350440502167, -0.16064701974391937, -0.050967663526535034, -0.23101966083049774, -0.12960897386074066, -0.3738972544670105, 0.512921154499054, 0.6989436745643616, 0.09556437283754349, 0.23402732610702515, 0.5598830580711365, 0.5066310167312622, 0.10375449806451797, 0.49297842383384705, 0.5471055507659912, 0.3437879979610443, 0.45390307903289795, 0.0738907977938652, 0.38917940855026245, -0.4675343334674835, -0.36672207713127136, 0.2754553556442261, 0.1856253445148468, 0.0524604357779026, 0.11377181112766266, 0.18724139034748077, 0.21841223537921906, -0.28491052985191345, -0.47934702038764954, -0.07176581770181656, -0.6493927836418152, 0.5486618876457214, 0.3161867558956146, -0.11246573179960251, 0.10005883127450943, 0.7444779276847839, -0.36317095160484314, -0.13578058779239655, -0.19947586953639984, -0.4771694540977478, 0.017746426165103912]"
488,pros sleep night amp appetite come back cons want eat sweets amp eat normal prescribed mirtazapine psychiatrist waking every three hours night never getting true restful sleep sleep night nightmares another reason prescribed gain weight ive always skinny battled anorexia past recently due lack appetite lost  pounds already  pounds didnt much lose begin got appetite back feel like bottomless pit want sweets anything feel like eat much started medication,457,2126,"[1.1010751724243164, 1.3824234008789062, 0.00264118704944849, 1.0834887027740479, 0.8836004734039307, 0.0069974977523088455, 0.6782550811767578, 0.9869911074638367, 1.0038427114486694, -1.1895849704742432, 0.5597133636474609, -1.110282063484192, -0.19278281927108765, -0.5685506463050842, -0.028273195028305054, 0.5691267251968384, 0.693891167640686, -0.09111650288105011, 0.8195902109146118, 0.7335556149482727, 0.323983758687973, -0.8117620348930359, -0.6119304299354553, 0.07123659551143646, 0.4697193503379822, -0.13139589130878448, -0.6817579865455627, -0.6016238927841187, -0.34730425477027893, 0.5231199860572815, 0.42241641879081726, -1.206484079360962, 0.20650829374790192, 0.3990902602672577, 0.8361232280731201, 2.12302303314209, 1.226657509803772, 0.5340802073478699, -0.625141441822052, -0.0183991901576519, 1.118154764175415, 0.600082278251648, 0.2755970060825348, 0.1472509205341339, -0.292226642370224, 1.0436204671859741, -0.3582383096218109, 0.5688877105712891, -0.5306418538093567, -0.0634155347943306, 1.1693174839019775, 0.41882339119911194, -0.12482147663831711, -0.307516872882843, 0.21363897621631622, 0.30791765451431274, -0.610459566116333, 1.274147868156433, 0.9720460772514343, -1.204595923423767, -0.19476671516895294, -1.2217776775360107, -0.34982553124427795, -0.7262808084487915]"
489,migraines since  yrs old  child suffered time late s fiorinal answer help couple others cant remember name imitrex came didnt work find relief even addition percocet maxalt came thank heavens mostly  days per month learned quickly first sign slice pain immediately take maxalt within half hour  gone fortunate medicine coverage private employer insurance reasonable copay otherwise would affect ability support take  meds per dayno interactions,525,2806,"[-0.25063905119895935, 0.16598603129386902, -0.06722249835729599, 0.4684908092021942, -0.21424226462841034, -0.0011147516779601574, -0.27050235867500305, -0.6660745739936829, -0.4362991750240326, 1.1871076822280884, -0.2850410044193268, 1.7468492984771729, 0.6441699266433716, -0.1555902510881424, 0.5547665953636169, -0.548765242099762, -0.9008992314338684, -0.3474877178668976, -0.38855019211769104, -0.6419224143028259, 0.7231069803237915, -0.46060845255851746, 0.32180628180503845, 0.641423761844635, 0.01153324544429779, -0.5636112093925476, -0.6334390044212341, -0.8717552423477173, -0.3242975175380707, 0.0431189201772213, 0.5088030695915222, 0.7517750263214111, -1.3736201524734497, 0.1107708066701889, -0.5862228274345398, -0.4529349207878113, 1.1866741180419922, 1.0281081199645996, 0.2940653860569, 0.6002824902534485, -1.0808014869689941, -0.7733299732208252, 0.3466523289680481, -0.8346973061561584, -0.19337788224220276, -0.1478080302476883, -0.9085264801979065, 0.2928876280784607, 0.8913319706916809, 0.13536259531974792, -0.3574134111404419, -0.6959834098815918, 0.2568263113498688, -0.5676274299621582, 0.02512395568192005, 0.5039877891540527, -0.9759300947189331, 0.8385955691337585, 0.543153703212738, -0.22819125652313232, 0.7571113705635071, 0.6192148327827454, -1.3330347537994385, -0.05922376736998558]"
490,ortho tricyclen lo  months couldnt continue due side effects terribly hormonal wanted eat everything sight cried time everything made upset moody time   quot lbs made gain weight go lbs trouble getting rid hope helps,173,1312,"[0.7229062914848328, 1.0925570726394653, 0.35538947582244873, 0.14785712957382202, 0.5017562508583069, 0.2528923451900482, -0.5646100640296936, 0.5650377869606018, -0.022963855415582657, -0.9477264285087585, 0.09131118655204773, 0.11861887574195862, -0.49731728434562683, -0.6231871247291565, -0.43263697624206543, -0.16714446246623993, -0.14292535185813904, 0.6768942475318909, 0.1410350650548935, -0.5913693308830261, -0.3308742642402649, 0.22143639624118805, -0.7577381730079651, -0.34946975111961365, -0.19737744331359863, 0.21078388392925262, -0.316222608089447, -0.24514588713645935, -0.2828473448753357, 0.5678994655609131, 0.09178835898637772, 0.22252631187438965, -0.4236869513988495, 0.626167893409729, -0.03816118836402893, 0.014880268834531307, 0.5908374190330505, 0.7530843019485474, 0.021296503022313118, 0.7975659370422363, 0.07990292459726334, -0.13250106573104858, 0.45058345794677734, -0.38691937923431396, -0.07132425159215927, 0.4818061590194702, 0.023366441950201988, -0.33917221426963806, -0.22054098546504974, 0.43543389439582825, 0.4336763918399811, -0.17560552060604095, 0.7786616683006287, -0.3090952932834625, 0.7432515025138855, 0.596911609172821, 0.10588482022285461, 0.3699730634689331, 0.6800504326820374, -0.9869320392608643, -0.2732865810394287, -0.26982012391090393, -0.04454319179058075, 0.9982240796089172]"
491,ortho tricyclen lo  months couldnt continue due side effects terribly hormonal wanted eat everything sight cried time everything made upset moody time   quot lbs made gain weight go lbs trouble getting rid hope helps,173,131,"[0.599717915058136, 1.056795597076416, 0.27163663506507874, 0.006781924050301313, 0.474659264087677, 0.3118596076965332, -0.4808160364627838, 0.41192007064819336, 0.15095297992229462, -0.7784900665283203, 0.20016686618328094, -0.016871443018317223, -0.4362625181674957, -0.5405287742614746, -0.5965466499328613, -0.004188308957964182, -0.11664678901433945, 0.8220360279083252, 0.13574446737766266, -0.5500879883766174, -0.2988099157810211, 0.21414589881896973, -0.7333378791809082, -0.33419620990753174, -0.005132882855832577, 0.13283699750900269, -0.39481815695762634, -0.16132302582263947, -0.19846731424331665, 0.719719648361206, 0.006350819021463394, 0.09990182518959045, -0.4121869206428528, 0.6764849424362183, -0.09289919584989548, 0.06574049592018127, 0.5748016238212585, 0.7219554781913757, -0.03496043011546135, 0.7929536700248718, 0.08327731490135193, -0.020367560908198357, 0.35114577412605286, -0.24117936193943024, 0.08107644319534302, 0.4041174352169037, 0.10967140644788742, -0.3168206512928009, -0.20042474567890167, 0.487193763256073, 0.5121184587478638, -0.20372556149959564, 0.72187340259552, -0.2815200090408325, 0.7497844099998474, 0.5690864324569702, 0.18640542030334473, 0.2624565362930298, 0.632716715335846, -1.0012990236282349, -0.2919406294822693, -0.37133869528770447, -0.05777779221534729, 0.9027247428894043]"
492,ac normal range lost  lbs labs great due weight loss mcg  years last ac good last time doctor wants decrease mcg several dermatologists last  years trying figure hair loss unhealthy hair change texture never wanted attribute byetta although hair loss started months began taking desperate stop hair loss im considering stopping byetta cant decide would worse bald gaining back  pounds would really love know person recently posted hair regrowth stopping byetta,283,1336,"[0.3494880199432373, 0.19712455570697784, -0.24596312642097473, -0.019886763766407967, -0.2693112790584564, 0.7585644721984863, 0.13883055746555328, 0.11185026913881302, 0.3906722068786621, -0.4121914803981781, 0.8498490452766418, -1.5868926048278809, -1.657427430152893, 0.0012271014275029302, -0.4075262248516083, -0.19267240166664124, 1.622745156288147, -0.13907760381698608, -0.7652460932731628, 0.06500173360109329, -0.05766050145030022, -1.2292654514312744, -1.094785213470459, -0.542857825756073, 0.5382588505744934, -0.550097644329071, -1.1909178495407104, -1.2069557905197144, -0.947677493095398, 0.21711786091327667, -0.732714831829071, -0.2525113523006439, 0.054538510739803314, 1.360715389251709, -1.4708530902862549, 0.5903182625770569, 1.3324564695358276, 1.1904906034469604, -0.08406903594732285, 0.6362143158912659, -0.5997247099876404, 0.724859356880188, -0.9628133773803711, -0.010302119888365269, 0.07638779282569885, 0.175186425447464, -1.449598789215088, -0.7088929414749146, 1.5719772577285767, -0.04300041124224663, 0.1661614328622818, -1.1424412727355957, 0.5492231845855713, 0.8225253820419312, 0.8147000670433044, -0.5737664699554443, -0.44824257493019104, 0.8365022540092468, 1.223470687866211, -0.7995511889457703, -0.07004570215940475, -0.8998017907142639, -0.032190799713134766, 0.20282430946826935]"
493,product worked  take full  months show full effect truly thats one year longer acne ever gone regular breakouts since teenager aged  finally enough itchy lumps bumps sometimes spots would come head times linger weeks face look dirty dull often felt sore either squeezed spot prescribed epiduo gp australia although initial redness soreness peeling skin quickly adjusted first time since  years old skin clear everyday year round breakouts wish id given try years ago,80,1261,"[-0.7816188931465149, 1.0067336559295654, 0.11161278188228607, -0.8786877393722534, 1.317144751548767, -0.13165216147899628, 0.5590935945510864, 0.1973017454147339, -2.081554412841797, -0.2960946261882782, 0.4339204728603363, 0.4709671437740326, -0.2272862046957016, -1.135650873184204, 0.274177610874176, 0.017687901854515076, -1.0029053688049316, -0.9091547131538391, -1.4766513109207153, -0.5538541078567505, -0.013441072776913643, -0.4009464383125305, 0.6848124861717224, -0.01185596827417612, 0.17323064804077148, 0.029024094343185425, -0.019727051258087158, 0.8487712144851685, 0.06311208754777908, 1.091810703277588, 0.3128167390823364, 0.8214331865310669, -0.3931017518043518, 0.333614319562912, 0.7711227536201477, 0.2774050533771515, -0.0007417668821290135, 0.4336552619934082, -0.19406160712242126, -0.06204866245388985, 0.058256350457668304, 1.0722261667251587, -0.8954232931137085, 0.5914494395256042, -0.5220507383346558, 0.45922404527664185, -1.1632888317108154, 0.07374271005392075, -0.264951229095459, 0.6027446389198303, -0.5196496844291687, -0.13677115738391876, 0.7493885159492493, 0.5375753045082092, 0.8783029913902283, 0.6496200561523438, -0.7365235090255737, -1.059782862663269, -0.2683461308479309, 0.5701398253440857, 0.24715498089790344, -0.6434060335159302, 0.6645869016647339, 0.3445078134536743]"
494,past years think suffered anxiety couldnt really put finger thanksgiving day everything fine hit remember feeling like future doomed couldnt concentrate felt like wasnt completely lost like losing grasp every aspect life cried thought losing sanity scariest thing ever experienced seeing  doctors medicines prescribed either didnt help maybe anxiety got best finally mom made go er gave celexa side effects pretty bad stuck must say almost  weeks im feeling back,132,840,"[0.826721727848053, 1.4485158920288086, -0.09409913420677185, 0.8010963797569275, 1.3629227876663208, 0.12246353179216385, -0.5722771883010864, -0.3725784420967102, -0.0773632749915123, -0.8089833855628967, -0.8624629378318787, 0.7558873295783997, -2.140658140182495, -0.4559203088283539, -0.5500592589378357, -0.2747974395751953, -0.1540832817554474, 0.924833357334137, -0.881773054599762, 0.37460485100746155, 1.7888845205307007, -0.17696768045425415, -0.549179196357727, -0.7112996578216553, 0.23084750771522522, -0.2869882881641388, -0.49720901250839233, 0.4502939283847809, 0.5206764936447144, 0.03473367169499397, 0.32780954241752625, -0.4176224172115326, -0.5752309560775757, 0.03723116219043732, 1.0357944965362549, 0.24939773976802826, -0.9473063349723816, -0.9324593544006348, 0.4677635431289673, -0.5379021763801575, 0.2134232074022293, -0.9430749416351318, 0.3113624155521393, 0.13093550503253937, 0.371612548828125, 1.3867826461791992, -0.47147664427757263, 0.25011372566223145, -0.10461797565221786, 1.0500491857528687, 0.24791429936885834, 0.47282353043556213, -0.6134953498840332, -0.5062762498855591, 1.2520122528076172, 1.0943245887756348, -0.612722635269165, 1.2696313858032227, 0.58504718542099, 0.03305183723568916, -0.06879763305187225, -0.21961398422718048, -0.3049514889717102, 1.2705121040344238]"
495,colazal completely rid crohns symptoms years suffering im worried  yrs symptom free need kidney transplant still able use get flare,250,900,"[-0.05612877756357193, -0.06845537573099136, 0.04834740608930588, -0.19826842844486237, 0.5678064227104187, 0.16274447739124298, 0.15275438129901886, -0.8498840928077698, -0.38171935081481934, -0.25663718581199646, -0.42714476585388184, 0.9441423416137695, -0.300348162651062, -0.3975539803504944, 0.12870706617832184, -0.4241112172603607, 0.33675047755241394, 0.4330707788467407, -0.1218734160065651, 0.05208525434136391, 0.31496572494506836, -0.47278448939323425, 0.32430925965309143, 0.12932804226875305, 0.6623457074165344, 0.2631196081638336, -0.3547764718532562, 1.0153625011444092, -0.48000258207321167, -0.06754923611879349, -0.2600439190864563, 0.2830638587474823, -1.0132546424865723, 0.3720349073410034, 0.0717749372124672, -0.26859837770462036, -0.11929722130298615, -0.11708950996398926, -0.26909494400024414, 0.1643979251384735, -0.2993018627166748, 0.31055447459220886, -0.21163885295391083, 0.10120022296905518, -0.07755222171545029, -0.028165727853775024, -0.35216039419174194, -0.005822616629302502, 0.3648447096347809, 0.05223918333649635, 0.01697945035994053, 0.08149909973144531, 0.3479672074317932, 0.39065021276474, 0.1809222400188446, 0.2629145085811615, -0.2723049819469452, -0.3766283094882965, 0.6943495869636536, -0.1546216607093811, -0.42132067680358887, -0.2497764229774475, -0.704952597618103, 0.15502887964248657]"
496, year old male diagnosed ibsc age  product literature linzess says laxative operates like laxative take empty stomach works  hours causes sort watery stool mag cit finished  trips rather  doctor says mag cit cause kidney damage linzess wont took amitiza intermittently  years  mcg time usually similar results notion linzess causes less cramping buildup calms colon seems like marketing jive wish came tablet could cut think standard dose strong,240,1888,"[0.1632785201072693, -0.750201940536499, 0.166008859872818, 0.7160021662712097, 0.4332617223262787, -0.47043174505233765, 0.6228151321411133, 0.5671145915985107, -0.7508025169372559, 0.07542676478624344, -0.3059222102165222, 0.5433703064918518, 0.6593174934387207, -0.45328524708747864, 1.3628510236740112, -0.07025525718927383, -0.325808048248291, 0.2242899388074875, -0.45427000522613525, 0.0456051379442215, 0.20519953966140747, 0.3993719220161438, 0.9315947890281677, 0.13213497400283813, 0.12914283573627472, -0.5492485761642456, -0.0029541850090026855, -0.36938637495040894, 0.17675593495368958, 0.08123807609081268, 1.6905319690704346, 1.189563274383545, -1.2410520315170288, -0.6334805488586426, 0.4407810866832733, -0.2267248034477234, 0.8212138414382935, 0.7160748243331909, -0.25986218452453613, 1.1331201791763306, -0.11579562723636627, -0.6206964254379272, -0.7791302800178528, -1.0582332611083984, 0.04108215123414993, -0.6147158741950989, 0.3440806567668915, 0.8138101100921631, -0.2047792375087738, 0.5161159634590149, -0.6328912377357483, 0.021276751533150673, -0.20468832552433014, -1.1141188144683838, 0.4212399125099182, -0.31561410427093506, -1.0445202589035034, 0.3404207229614258, -0.32171881198883057, -1.0958292484283447, 0.9781225323677063, -0.9940205216407776, -1.135839581489563, -0.18811914324760437]"
497,taking  plus years migraines use fiorinal  fiorinal work side effects,374,1397,"[0.22915232181549072, -0.18961375951766968, 0.07337401062250137, 0.10881851613521576, 0.35391831398010254, 0.3946169912815094, -0.17320849001407623, 0.2036796361207962, -0.08414901047945023, 0.09305928647518158, 0.10915521532297134, 0.4957400858402252, 0.005991068203002214, -0.20630641281604767, -0.44831016659736633, -0.3895409405231476, 0.04743897169828415, -0.492929071187973, -0.21786408126354218, 0.10273650288581848, 0.06403183937072754, 0.3979893624782562, 0.766442060470581, 0.0003767992020584643, -0.052873529493808746, 0.3706910014152527, -0.1445198953151703, 0.1543443202972412, -0.38786259293556213, 0.41982749104499817, 0.5038920044898987, 0.41512829065322876, -0.6069448590278625, -0.08037934452295303, -0.11620490998029709, -0.3325698673725128, 0.0003838771372102201, 0.20213861763477325, 0.3181504011154175, 0.029863201081752777, 0.0023570049088448286, 0.14916059374809265, -0.07986637949943542, -0.28276336193084717, -0.32210108637809753, -0.10891447216272354, -0.3503803312778473, -0.028523776680231094, 0.717858612537384, -0.346774697303772, 0.054734744131565094, -0.1550443023443222, 0.37322020530700684, 0.4111884832382202, 0.08900363743305206, 0.4770532548427582, -0.5176191329956055, 0.12593501806259155, 0.404373437166214, -0.2162782996892929, -0.29036960005760193, 0.33545294404029846, -0.28232863545417786, -0.08338790386915207]"
498,average satisfied symptoms continue,131,1205,"[0.08570673316717148, 0.044946592301130295, -0.3229200839996338, -0.10094606876373291, 0.03809596970677376, -0.09589627385139465, 0.146824911236763, -0.17004196345806122, 0.37979835271835327, 0.12725499272346497, -0.11358048021793365, -0.09664145112037659, 0.010132547467947006, -0.14916327595710754, -0.0603974312543869, -0.17450903356075287, 0.20822814106941223, -0.14450864493846893, -0.1973983645439148, 0.16747720539569855, -0.06634683161973953, 0.03948963060975075, 0.4366995692253113, -0.13833947479724884, 0.016417190432548523, 0.23957180976867676, -0.3158034086227417, -0.04056103527545929, -0.2674577832221985, 0.27615994215011597, 0.2322804480791092, 0.2528778612613678, -0.36960819363594055, -0.0021743434481322765, -0.3524066209793091, 0.036589790135622025, 0.3155744671821594, 0.47152507305145264, -0.22940897941589355, -0.006533834617584944, -0.22287558019161224, 0.030908111482858658, 0.09689362347126007, -0.2639818787574768, -0.10613242536783218, -0.14817482233047485, -0.3359288275241852, -0.0838310495018959, 0.030669506639242172, 0.1778832972049713, 0.016238152980804443, -0.008981251157820225, 0.42216822504997253, 0.19531157612800598, 0.07651063054800034, 0.15715958178043365, -0.09774984419345856, -0.2910502254962921, 0.029842082411050797, 0.16608425974845886, 0.1102307140827179, 0.03015926666557789, -0.03648574277758598, 0.0012887053890153766]"
499,irsquove taking yasmin  years issues switched cheaper brand similar yasmin couple months started get multiple bladder infections switched back yasmin still problems decreased libido,173,1167,"[-0.09911008924245834, 0.4869920313358307, 0.41892364621162415, 0.29487019777297974, 0.27696236968040466, 0.19489796459674835, -0.19979612529277802, 0.6238898634910583, -0.22357599437236786, -0.5127720832824707, 0.0012692664749920368, 0.9059922099113464, -0.34765031933784485, -0.9490759372711182, -0.1750907003879547, -0.09440623968839645, -0.5296239256858826, 0.31755632162094116, -0.1216491162776947, -0.29905638098716736, 0.13220196962356567, -0.891060471534729, -0.4015459418296814, 0.15993498265743256, 0.3457571864128113, 0.14783525466918945, 0.005173546262085438, 0.23899783194065094, -1.5192604064941406, -0.03364116698503494, 0.3697795271873474, 0.7188959717750549, 0.005530289839953184, 0.8135640025138855, 0.4682961404323578, -0.020625587552785873, 0.21334612369537354, -0.07855847477912903, -0.011336874216794968, -0.05305945500731468, 0.0018986199283972383, 0.09358377009630203, -0.49006032943725586, -0.7896700501441956, -7.395490683848038e-05, -0.6914145350456238, -0.48284268379211426, -0.744296669960022, 0.03012506105005741, -0.011343454010784626, 0.3237577974796295, -0.37003496289253235, 0.2624055743217468, 0.3946344256401062, 0.2538488209247589, -0.2984236180782318, -1.037511944770813, 0.2451574057340622, 0.5406138896942139, -0.8190886974334717, 0.3752996623516083, -0.23022541403770447, -0.9695954322814941, 0.6183708310127258]"
