,condition,card2vec,drugName
1011,131,"[0.008234371431171894, 0.4872099757194519, -0.6200979351997375, -0.18167583644390106, -0.10125146806240082, -0.38505983352661133, -0.401790052652359, 0.12615029513835907, 0.13460509479045868, 0.2634924650192261, 0.014905387535691261, 0.11743679642677307, -0.034024275839328766, -0.9244735240936279, -0.10929114371538162, 0.20707252621650696, -0.2001255303621292, -0.09188630431890488, -0.11162341386079788, -0.014646684750914574, -0.04529397934675217, 0.11193235963582993, 0.40197569131851196, 0.2573658227920532, 0.327465295791626, 0.05449105054140091, -0.37739622592926025, -0.27667149901390076, -0.42186009883880615, -0.17879514396190643, 0.9752333760261536, 0.007637452334165573, -0.4538685977458954, -0.18238447606563568, 0.42276647686958313, 0.2375376969575882, 0.16820551455020905, 0.05808195099234581, -0.10569590330123901, 0.06873586773872375, -0.17258213460445404, 0.18338172137737274, -0.2588828504085541, -0.13347817957401276, -0.2461651861667633, -0.2237854152917862, -0.6078977584838867, 0.29330581426620483, 0.3521280288696289, 0.09997616708278656, -0.6978792548179626, -0.35955992341041565, -0.31095531582832336, -0.01651284098625183, 0.4548560082912445, -0.20129689574241638, -0.271342009305954, -0.37720465660095215, 0.5289199948310852, 0.1740906834602356, -0.2672547399997711, 0.1346900314092636, -0.4331754446029663, 0.05826054885983467]",1473
1012,670,"[0.1978657990694046, -0.6878257989883423, -0.7675049304962158, -0.4479242265224457, 0.7641234397888184, 0.23120775818824768, 0.5027867555618286, 0.14887137711048126, 0.5189875960350037, -0.7291087508201599, 1.2725108861923218, 0.1255279779434204, -0.7609463930130005, -0.6259844303131104, -0.252755731344223, -0.3285338282585144, 0.17392875254154205, 0.5729163289070129, 0.7966956496238708, -0.3651677966117859, 0.6682651042938232, -0.2937648892402649, 0.23506782948970795, -0.3000374138355255, 0.35619404911994934, -0.4747602939605713, -0.9734900593757629, -0.6438048481941223, -0.47076383233070374, -0.24758948385715485, 0.8785783648490906, -0.07835085690021515, -0.9503217935562134, -0.7121695876121521, -0.015134807676076889, 0.9038183093070984, 0.009395408444106579, 0.06648287177085876, -0.30844154953956604, -0.5383062958717346, -0.05421970784664154, 1.0764063596725464, 0.2124418318271637, -0.37279143929481506, -0.5126339197158813, -0.035821519792079926, -0.21289440989494324, 0.5006983876228333, 0.3961273729801178, 0.9590554237365723, 1.3663707971572876, -0.3206828832626343, 0.5210927128791809, 0.5406256914138794, 1.243723750114441, 0.4013180434703827, -0.14442062377929688, 0.3742474317550659, 0.4932331144809723, -0.2239176332950592, -0.4864661991596222, -0.525353729724884, -0.08311855792999268, 0.16946665942668915]",3493
1013,647,"[0.26187068223953247, 0.41441139578819275, -0.06044746935367584, 0.13422484695911407, 0.3661150634288788, 0.45240679383277893, -0.5239818096160889, 0.19338113069534302, -0.3634442090988159, 0.1824355125427246, -0.1866421401500702, 0.24980659782886505, -0.5818602442741394, -0.39638271927833557, 0.15495188534259796, 0.28398770093917847, -0.2970293462276459, -0.14735309779644012, 0.05725296586751938, -0.6277872323989868, 0.15613575279712677, 0.4535169303417206, 0.6603538393974304, -0.33405596017837524, -0.4354549050331116, 0.14416511356830597, 0.2684657871723175, 0.43890663981437683, 0.3199360966682434, -0.4161073565483093, 0.3090639114379883, 0.19599029421806335, 0.0943002924323082, 0.048935338854789734, -0.39754974842071533, -0.45083603262901306, 0.6931964755058289, 0.08566121757030487, 0.1633114069700241, 0.38263192772865295, 0.25190481543540955, -0.1918334662914276, 0.4741384983062744, -0.15899084508419037, 0.5869970917701721, -0.11329077184200287, 0.3151840269565582, 0.31554436683654785, 0.22918976843357086, -0.3045450448989868, -0.10641777515411377, 0.02747012861073017, 0.04271487891674042, -0.49663811922073364, 0.3446336090564728, 0.30253639817237854, -0.6309133768081665, 0.18652164936065674, -0.07285281270742416, -0.3657895624637604, 0.655064582824707, 0.2058827131986618, -0.5900001525878906, -0.7006883025169373]",1442
1014,173,"[0.006233340594917536, 0.19394253194332123, -0.32599130272865295, 0.45794999599456787, 0.48021188378334045, 0.21795891225337982, 0.15921683609485626, 0.06328219175338745, -0.32975491881370544, -0.6310117840766907, 0.2182459682226181, 0.19477906823158264, -0.5984845161437988, 0.18687587976455688, -0.28301724791526794, -0.3197857141494751, 0.6456992626190186, 0.08815333992242813, -0.2673756778240204, 0.10356207191944122, 0.5458699464797974, -0.14645089209079742, 0.22695668041706085, -0.40409350395202637, -0.19409412145614624, -0.15391215682029724, -0.49523547291755676, -0.10931085050106049, 0.04480478912591934, 0.400013267993927, -0.21162375807762146, -0.1833624243736267, 0.18422217667102814, 0.38961926102638245, 0.43717116117477417, -0.23716790974140167, 0.08577565103769302, 0.8716899752616882, -0.02879498340189457, 0.12522171437740326, 0.03091820515692234, 0.3854117691516876, -0.12134219706058502, 0.053089555352926254, 0.35418936610221863, 0.16947968304157257, -0.09049565345048904, -0.13097943365573883, -0.003515485906973481, -0.18080784380435944, -0.5197510719299316, -0.27397409081459045, 0.42647719383239746, -0.2972894310951233, 0.7374585866928101, 0.1061653420329094, -0.5344139337539673, 0.35792240500450134, 0.729543149471283, -0.1871551275253296, 0.22813531756401062, -0.30930644273757935, -0.3123930096626282, 0.5159515738487244]",1312
1015,173,"[-0.013787302188575268, 0.2715979516506195, -0.16362342238426208, 0.42107778787612915, 0.4589979648590088, 0.17997297644615173, 0.19283458590507507, 0.012169675901532173, -0.14021353423595428, -0.6381758451461792, 0.34794214367866516, 0.18764011561870575, -0.5870489478111267, 0.17618392407894135, -0.186427503824234, -0.24659767746925354, 0.5689836740493774, 0.1350664645433426, -0.21909424662590027, 0.20854756236076355, 0.6503602862358093, -0.1352260708808899, 0.20653460919857025, -0.4686957597732544, -0.22989638149738312, -0.24890729784965515, -0.6117033958435059, -0.17293669283390045, 0.011256897822022438, 0.55854731798172, -0.08634170889854431, -0.12456413358449936, 0.15254242718219757, 0.39356860518455505, 0.5381764769554138, -0.22372612357139587, 0.09863036125898361, 0.843555212020874, 0.0746472030878067, -0.024494413286447525, 0.03122425265610218, 0.4840008020401001, -0.10058604180812836, 0.11484330892562866, 0.42647767066955566, 0.2032981812953949, -0.1181214302778244, -0.22336407005786896, 0.16889289021492004, -0.09614256769418716, -0.38404911756515503, -0.19616492092609406, 0.3757188022136688, -0.28456559777259827, 0.6752589344978333, 0.20343057811260223, -0.5384758114814758, 0.20480741560459137, 0.5369439721107483, -0.27172788977622986, 0.14977312088012695, -0.38086140155792236, -0.2869342863559723, 0.6352461576461792]",131
1016,753,"[0.03162698075175285, 0.32345184683799744, -0.649077832698822, 0.4627358019351959, 0.3057289719581604, 0.14895525574684143, -0.0874929130077362, -0.00041031246655620635, -0.13570013642311096, -0.9546939730644226, 0.6930306553840637, 0.5375431776046753, -0.9451760649681091, -0.11052348464727402, -0.1594115048646927, 0.3517538607120514, 0.6952998638153076, -0.5216332077980042, -0.43333715200424194, 0.14844828844070435, 1.0588277578353882, -0.05417416989803314, 0.14709480106830597, -0.5447763204574585, -0.11600212752819061, 0.16334637999534607, -0.034239500761032104, -0.5407411456108093, -0.3065856099128723, -0.01810499280691147, 0.28221824765205383, -0.6578816175460815, -0.2292221635580063, -0.8439663648605347, 0.14160166680812836, 0.2735389173030853, 0.25867822766304016, 0.45080235600471497, -0.4253922998905182, -0.07673992961645126, 0.4606054723262787, 0.6103231906890869, -0.19521784782409668, 0.1966097205877304, -0.4723723530769348, -0.06589808315038681, 0.044802285730838776, -0.013172613456845284, 0.23418985307216644, -0.5016462206840515, -0.5698332786560059, -0.15989376604557037, -0.0020743042696267366, -0.7076029777526855, 1.1273807287216187, 0.1497095823287964, -0.3382200300693512, 0.26411259174346924, 0.1515910029411316, -0.9587411284446716, -0.23418647050857544, -0.14454405009746552, -0.18872079253196716, -0.4913563132286072]",1849
1017,185,"[0.031084056943655014, -0.6987121105194092, -1.6651731729507446, 0.8911058306694031, 0.5394455194473267, -0.24523070454597473, -0.014268137514591217, -0.34077057242393494, 0.2188149094581604, -0.8705965876579285, -0.5666122436523438, 0.6813016533851624, -1.2297837734222412, -0.9405069351196289, 0.6722822785377502, -0.32949718832969666, 0.8181183934211731, -0.22263485193252563, 0.5314240455627441, -0.4467256963253021, 1.1905637979507446, -0.3541586995124817, -1.320342779159546, 0.47760850191116333, 0.4316709339618683, -0.16332370042800903, 0.1896716207265854, -0.11196500062942505, -0.6948109269142151, -0.24975235760211945, -0.07639124244451523, 0.15717601776123047, -1.4393608570098877, 0.5509174466133118, -0.5470194816589355, 0.7641150951385498, 0.7743306159973145, -0.22828489542007446, -0.5239168405532837, 0.5417944192886353, -1.694178581237793, 0.8427331447601318, -0.5576704740524292, 0.2701685130596161, -0.20765194296836853, -0.19724661111831665, 0.3618250787258148, -0.6375515460968018, 0.03572475165128708, -0.1293686181306839, 0.5623744130134583, -1.0365426540374756, -0.578102171421051, -0.06835521012544632, -0.13123144209384918, 0.310852974653244, -1.4847882986068726, 0.5404590368270874, 1.1544246673583984, -0.7004148960113525, 1.249093770980835, -1.3983689546585083, -0.7420270442962646, 0.4123930037021637]",1365
1018,457,"[0.11533787846565247, 0.44342923164367676, -0.485948383808136, 0.27889493107795715, 0.7833228707313538, -0.014536813832819462, -0.004584139212965965, -0.6710233092308044, 0.10670933872461319, 0.4310093820095062, 0.5422132611274719, 0.40481799840927124, -0.3351314663887024, 0.10132095217704773, -0.6485185027122498, -0.31274545192718506, -0.0014451899332925677, -0.1747923493385315, -0.25734758377075195, -0.28535133600234985, 0.5781710147857666, -0.1320076435804367, 0.09842489659786224, 0.6216191649436951, 1.3489208221435547, -0.4187236726284027, -0.08741390705108643, -0.35420510172843933, -0.6028335690498352, 0.7932168245315552, 0.41756612062454224, -0.061223190277814865, -0.5617862343788147, -0.24665141105651855, 0.03316318988800049, 0.35994473099708557, 0.5930039286613464, 0.45334792137145996, 0.09854759275913239, 0.07663534581661224, 0.040547288954257965, 0.060021381825208664, 0.5045166015625, -0.381562203168869, -0.31334564089775085, -0.050916921347379684, -0.6012287139892578, 0.3482559323310852, 0.41295772790908813, 0.3339479863643646, -0.3709565997123718, 0.4823687970638275, 0.47531476616859436, -0.6391920447349548, 0.148552805185318, 0.43446338176727295, -0.4105471074581146, 0.4026557505130768, 0.3962743878364563, -0.12777194380760193, -0.5434063076972961, -0.2909722626209259, -0.4734121263027191, -0.04245072603225708]",380
1019,173,"[-0.3220232427120209, -0.63246750831604, -0.8848923444747925, -0.24492405354976654, -0.3347174823284149, 0.31828659772872925, -0.20583908259868622, 0.1878974437713623, -0.827942430973053, 0.2595967650413513, -0.3820953667163849, 0.14424483478069305, -0.0468316487967968, -1.0790114402770996, -0.5367241501808167, -0.2352786809206009, -0.36485087871551514, 0.3734406530857086, -0.6177806258201599, -0.28273314237594604, 0.33042317628860474, -0.7540742754936218, -0.4629230797290802, -0.23708879947662354, -0.30240291357040405, -0.059573154896497726, -0.28815606236457825, 0.8662011623382568, 0.3434778153896332, 0.5131157636642456, 1.0670071840286255, 0.7180559039115906, 0.41907998919487, 0.8902663588523865, 0.16289538145065308, -0.3789829909801483, 0.04746593162417412, 1.5957045555114746, -0.15757623314857483, 0.6460269093513489, -0.6427527070045471, -0.628818690776825, -0.3161550462245941, 1.1429415941238403, -0.4869125783443451, 0.22929179668426514, -0.6177386045455933, -0.43525540828704834, -0.21714094281196594, 0.34877893328666687, -0.35637688636779785, -0.6634016036987305, 0.5649945735931396, -0.22765867412090302, 1.1039952039718628, -0.29785221815109253, -0.18610034883022308, -0.08586440235376358, 1.3994624614715576, -0.6975793838500977, 0.6834906339645386, 0.4093928039073944, 0.24878156185150146, 0.7183734178543091]",2931
1020,710,"[-1.1086961030960083, 1.131949543952942, -0.11563779413700104, -0.3982100486755371, 0.7205693125724792, 0.23016737401485443, -0.048089463263750076, -0.41330569982528687, -0.42375051975250244, -0.6417648792266846, 0.11496156454086304, 0.5743104815483093, -0.6076106429100037, -0.8515273928642273, 1.6531025171279907, -0.723738431930542, 0.3867010176181793, 1.3759706020355225, 1.1924123764038086, 0.127641960978508, 0.235198512673378, -0.4136022925376892, -0.08347517997026443, -0.014817620627582073, 0.19076047837734222, 0.27661532163619995, -0.9294512271881104, 0.3781976103782654, 0.6324880719184875, 0.24384188652038574, -0.44027769565582275, 0.22416691482067108, -0.4176373779773712, 0.08646944910287857, -0.41987717151641846, 0.07532058656215668, -0.2692309021949768, 0.8862020969390869, -0.40279847383499146, -0.3670790493488312, 0.11575883626937866, 1.184150218963623, -0.8143977522850037, -0.967948317527771, 0.24084573984146118, -0.45204493403434753, 0.3590819537639618, -0.7046183943748474, -0.40569111704826355, 0.9124663472175598, -0.42080873250961304, 0.6377385854721069, 0.4559175670146942, 0.13726022839546204, 0.8929288983345032, -0.398735374212265, -1.2476557493209839, 0.18312394618988037, -0.8897393941879272, -0.40526801347732544, 0.2807340621948242, -0.8995121121406555, 0.048284612596035004, -0.08692324161529541]",2066
1021,173,"[-0.08990590274333954, -0.11321345716714859, -0.6153856515884399, 0.12093544006347656, 0.24729566276073456, 0.598956823348999, -0.4260529577732086, -0.48489516973495483, -0.7745521664619446, -0.2100331336259842, 0.1766822189092636, -0.3770337402820587, -1.4931613206863403, -1.0060752630233765, -1.0330593585968018, -0.5885695815086365, 0.23966355621814728, -0.2676730155944824, -0.51686692237854, 0.5652695894241333, -0.23864011466503143, -0.2212504893541336, 0.33182835578918457, -1.1756573915481567, -0.8068943023681641, 0.4786568582057953, -0.8169196248054504, 1.1035665273666382, -0.7598178386688232, -0.13405106961727142, 1.091838002204895, -0.18006372451782227, -0.14448413252830505, -0.005085341166704893, -0.04998616874217987, 0.35568490624427795, -0.1753763109445572, 1.071869969367981, 0.22789254784584045, -0.0386105440557003, 0.33744072914123535, -0.19737757742404938, 0.9877898097038269, -0.5877979397773743, 0.23326219618320465, 0.1976526528596878, -1.1205536127090454, -1.1161078214645386, -0.21377412974834442, -0.5319205522537231, -0.10950973629951477, 0.35440489649772644, 0.1507641226053238, 0.18370112776756287, 0.4990108013153076, 0.2632512152194977, 0.04366302862763405, 0.3692532181739807, 0.8380334377288818, -1.312109112739563, -0.007396340370178223, -0.315784752368927, -0.3812267482280731, -0.4504682719707489]",1903
