,condition,card2vec,drugName
10,173,"[-0.12026716768741608, -0.6713507175445557, -1.3305505514144897, -0.7402939796447754, 0.7791033387184143, 0.7626742720603943, -0.0400390550494194, 0.8303828239440918, 0.7960187792778015, -0.4650924503803253, 1.0524611473083496, 0.016048189252614975, -1.1017712354660034, 0.45028749108314514, -1.0545107126235962, 1.0157737731933594, 0.18003499507904053, 0.7397740483283997, 0.1256372183561325, 0.8601956367492676, 1.1712398529052734, -0.5339455008506775, -0.3686138391494751, -0.32896631956100464, -0.7735187411308289, 0.15883386135101318, -1.602599859237671, -0.026551632210612297, -1.4344685077667236, -0.22204726934432983, 0.13656961917877197, -0.572113573551178, -0.2955845594406128, 0.9026581645011902, 0.2818033695220947, 0.7835959792137146, -0.2919009029865265, -0.02833855152130127, 0.22505119442939758, 0.1956159472465515, -0.5684365034103394, -0.08575452119112015, 0.6182534694671631, -0.4950910806655884, -0.6880252957344055, -0.007812888361513615, -0.9788050055503845, -0.7813963890075684, 0.23658831417560577, 0.21944907307624817, -0.548922061920166, -0.8391302227973938, -0.2337772697210312, 0.6467257142066956, 1.0258421897888184, 0.70330411195755, -0.2864542305469513, -0.2586081326007843, 1.3627737760543823, -0.4331793487071991, -0.6848206520080566, -0.809502124786377, -0.8476612567901611, -0.9565920233726501]",1312
11,173,"[-0.08437784016132355, -0.7028626203536987, -1.6191214323043823, -0.6227460503578186, 0.8275377154350281, 0.7638735175132751, -0.2304152399301529, 0.764748752117157, 0.8214613795280457, -0.6168355345726013, 1.1416817903518677, 0.07985927909612656, -1.2140328884124756, 0.5412906408309937, -1.073756217956543, 0.8283914923667908, 0.2611100375652313, 0.7510929107666016, 0.04264292120933533, 0.7759089469909668, 1.2598930597305298, -0.48733824491500854, -0.22881586849689484, -0.3767760097980499, -0.7211690545082092, 0.3318895995616913, -1.3130505084991455, 0.01899404264986515, -1.3900781869888306, -0.12688913941383362, -0.02331935241818428, -0.47576186060905457, -0.301638126373291, 0.8857666850090027, 0.36244067549705505, 0.8760550618171692, -0.32401660084724426, -0.024827174842357635, 0.3308342397212982, 0.30898725986480713, -0.5604401230812073, 0.04204188287258148, 0.6683750152587891, -0.5702173709869385, -0.6090839505195618, 0.10588549822568893, -1.0607326030731201, -0.6629981994628906, 0.19405792653560638, 0.07953421771526337, -0.5490753650665283, -0.9398485422134399, -0.25612232089042664, 0.6046721935272217, 0.7948407530784607, 0.7348245978355408, -0.3968994617462158, -0.3043127954006195, 1.588410496711731, -0.5476527214050293, -0.8055846691131592, -1.0062813758850098, -0.9704064130783081, -0.8969146609306335]",102
12,526,"[-0.31493911147117615, 0.558428943157196, -0.5055185556411743, 0.22488994896411896, -0.58823162317276, -0.2784912884235382, 0.5266737341880798, 0.5044938921928406, -0.18786892294883728, -0.6112461686134338, 1.7587647438049316, 0.13600760698318481, -1.4543230533599854, -0.7535363435745239, -1.5242947340011597, 0.7493448257446289, 0.0916079729795456, -0.2639741599559784, -0.34095874428749084, -0.1690533608198166, 1.025923252105713, -0.3886914849281311, 0.43331828713417053, -0.8202124834060669, -0.44618478417396545, -0.35776329040527344, -0.8786055445671082, -0.7985403537750244, -2.1836092472076416, 0.6184530854225159, 1.0464080572128296, -0.4981074929237366, -0.6127321124076843, -0.4591781497001648, -0.7304096221923828, 0.5628881454467773, -0.5825716853141785, 0.913239598274231, 0.48213812708854675, 0.04338807240128517, 0.6426053643226624, 0.6243830323219299, -0.7310295701026917, -0.678780734539032, 0.5832933783531189, -1.0214898586273193, -0.6361978650093079, 0.8830471634864807, 0.5988373160362244, -1.0178722143173218, -0.22430086135864258, 0.797678530216217, 0.5340530872344971, -0.7817940711975098, 1.0318363904953003, -0.42211446166038513, 0.10704878717660904, 0.1035303920507431, 0.6406856775283813, 0.6608116626739502, -0.32431408762931824, 0.10508165508508682, -0.23940891027450562, 0.056621987372636795]",3159
13,272,"[0.2519330084323883, -0.15056602656841278, -0.5097018480300903, 1.1318297386169434, 0.4717715382575989, 0.1987919807434082, -0.42249172925949097, -0.5854982733726501, 0.2055383026599884, -0.42839306592941284, -0.26691123843193054, 0.7283102869987488, -0.8385355472564697, -0.5353538990020752, 0.3532007336616516, -0.6069220900535583, -0.32096388936042786, -0.42166072130203247, -0.02258213981986046, -0.7274324893951416, 1.3823466300964355, 0.41715988516807556, -0.12613926827907562, -0.6117368340492249, -0.7667295336723328, -0.1847531795501709, 0.10500578582286835, -0.7071005702018738, -0.20847386121749878, 0.21364709734916687, 0.39026010036468506, -0.34326058626174927, -0.6250420212745667, 0.251922607421875, 0.41434580087661743, -0.2815556526184082, -0.22134754061698914, 0.9097548723220825, -0.5660868883132935, -0.15069580078125, -0.2330375611782074, 0.19118930399417877, -0.7785080075263977, -0.5380799770355225, -0.1775011569261551, 0.4031519591808319, -0.15149591863155365, -0.10504204779863358, 0.4378232955932617, -0.18209302425384521, 0.21915799379348755, -0.5975148677825928, -0.36020779609680176, -0.004925283137708902, 0.31561294198036194, -0.3574948310852051, -1.1507716178894043, 0.45616912841796875, 0.6121070981025696, -0.2109973132610321, -0.679375171661377, -0.01009607594460249, -1.257411003112793, 1.0070899724960327]",1794
14,250,"[-0.4544176459312439, 0.027340691536664963, 0.18960590660572052, 0.31898078322410583, 0.6540518403053284, -0.5730636715888977, 0.5615114569664001, -0.09970767050981522, -0.11560897529125214, -0.45449769496917725, 0.18227261304855347, 0.8380023837089539, 0.04987655207514763, -0.7333658337593079, -0.13168877363204956, 0.4282517731189728, 0.35631895065307617, -0.44163593649864197, -0.08985019475221634, -0.07355109602212906, 0.23427928984165192, -0.3166716992855072, 0.18959210813045502, -0.23747698962688446, 1.0390220880508423, 0.5865829586982727, -0.20599938929080963, -0.4807521402835846, -0.41917508840560913, -0.040951792150735855, 0.2522578239440918, 0.03560550883412361, -0.4419501721858978, -0.05729997903108597, -0.13790306448936462, 1.0628191232681274, 1.0163242816925049, 0.062194328755140305, -0.368146151304245, -0.12285073846578598, -0.3393827974796295, -0.124994195997715, 0.15313935279846191, 0.20036832988262177, -0.4023403525352478, -0.5206003189086914, -0.8129019737243652, 0.13279293477535248, 0.39965349435806274, 0.07814351469278336, 0.055751726031303406, 0.12662088871002197, 0.006279776804149151, -0.3754352033138275, 0.6799481511116028, 0.8257956504821777, -0.0631013885140419, 0.4687436521053314, 0.6734597086906433, -0.13370202481746674, 0.27385032176971436, -0.348577618598938, -0.5842268466949463, 0.6491283774375916]",2486
15,248,"[-1.1522538661956787, -0.09826193004846573, 0.7417839169502258, 0.6299172639846802, 0.6345781087875366, -1.22341787815094, 0.38517996668815613, -0.35228458046913147, 0.7172641754150391, 0.20576967298984528, 0.6249873042106628, 0.2857597768306732, -0.2712879776954651, -0.936414361000061, 0.17686352133750916, 0.034756485372781754, -0.9224491119384766, 0.29512932896614075, 0.9230056405067444, 0.4237574636936188, 0.6442899703979492, -0.7639361619949341, 0.4561898112297058, -0.16646568477153778, 0.3263442814350128, -0.3006461560726166, -0.02420283667743206, -0.2525855004787445, 0.3186347484588623, 0.47282132506370544, 1.9446603059768677, 1.2219361066818237, 0.0014774915762245655, 0.23388099670410156, 1.7407708168029785, 0.4645323157310486, -0.3947101831436157, -0.12065383791923523, -0.18597671389579773, 0.08756498992443085, 1.1050838232040405, 0.6777750253677368, 0.3264497220516205, -1.3389219045639038, 0.22988465428352356, -0.4046843349933624, -0.6754961609840393, 0.4537770450115204, 0.8995963931083679, 0.20038148760795593, -0.19852381944656372, -0.5966583490371704, 0.21606971323490143, 0.01652200147509575, 1.943678617477417, -0.3038431704044342, 0.01437695138156414, 0.39861953258514404, 0.5100664496421814, -1.0650495290756226, -1.318249225616455, -0.35054489970207214, 0.30876433849334717, -0.4657248556613922]",1076
16,173,"[0.02797732688486576, 0.38965585827827454, 0.6055254936218262, -0.013289568945765495, 0.46636053919792175, 1.2543739080429077, -0.7622553110122681, -0.2159527987241745, 0.06313648819923401, -1.399357557296753, 0.572605311870575, 1.465767502784729, -0.8452131152153015, -0.4404476284980774, 0.0955803319811821, -1.1261680126190186, 0.43833664059638977, 0.25356346368789673, 0.12283101677894592, 0.27376464009284973, 0.3787838816642761, 0.4498167932033539, -0.9135769009590149, 0.15618005394935608, -0.01480612438172102, 0.2338944524526596, -0.8362925052642822, 1.4925758838653564, 0.09910158812999725, 0.10464858263731003, -1.0505263805389404, 0.107049360871315, -0.44386622309684753, 0.7111908197402954, 0.7209379076957703, -0.13325360417366028, 0.24009108543395996, 0.6379803419113159, -0.3077109456062317, 1.1836469173431396, -0.4958806335926056, -0.16234147548675537, 0.25164130330085754, 0.6807006001472473, 0.213224396109581, -0.27357009053230286, -0.6469806432723999, -0.5523826479911804, -0.47743797302246094, 0.3161669969558716, -0.3067317008972168, -1.248138666152954, 0.7497286200523376, 0.6162678003311157, 0.04665876179933548, 1.6282836198806763, -0.03794886916875839, 0.17360757291316986, 1.393877387046814, -1.8460108041763306, -0.18358854949474335, 0.331234872341156, -1.5762895345687866, -0.20945972204208374]",2249
17,592,"[0.12119238823652267, 1.3201669454574585, -0.597873330116272, -0.05666786804795265, -0.09005976468324661, -0.2099006026983261, 0.7181240320205688, 0.9971923232078552, -0.37454649806022644, -0.7779484987258911, 0.6968602538108826, -0.34734636545181274, -0.18047063052654266, -0.5450588464736938, 0.2989540100097656, 0.1752476990222931, -0.24673788249492645, 0.39639005064964294, 0.8933041095733643, 0.19061145186424255, 1.143019199371338, 0.2482416331768036, 1.0816203355789185, 0.14552341401576996, 0.40190258622169495, -0.028395114466547966, -0.12785933911800385, -1.1371254920959473, -1.6233408451080322, -0.07203862816095352, 0.35905545949935913, -0.23162053525447845, -1.0390071868896484, -1.240246057510376, -0.4282670319080353, 1.2313880920410156, 0.2783307433128357, 1.1150128841400146, -0.5548566579818726, 0.4078095853328705, 0.9300716519355774, 0.3589242398738861, 0.598488986492157, -0.2925761938095093, 0.45324745774269104, -0.21797522902488708, 0.31403106451034546, 0.639329195022583, -0.3142389953136444, -0.6407820582389832, -0.3261774778366089, -1.389250636100769, -0.8912129402160645, 0.21228216588497162, 1.1404476165771484, -0.034058596938848495, -1.0246920585632324, 0.4418483376502991, 0.3833274245262146, -2.041814088821411, 0.407220721244812, -0.647254467010498, -0.308273583650589, 0.02945355325937271]",1895
18,853,"[-0.21295538544654846, 0.3603058159351349, 0.5052525401115417, 0.5929017663002014, 0.8337996006011963, -0.2706276476383209, 0.6075536012649536, -1.0189988613128662, -0.05238169804215431, -0.7234521508216858, 0.9316372871398926, -0.00925627164542675, -0.16565436124801636, -0.8168954849243164, 1.275124430656433, -0.29488420486450195, -0.1926146000623703, -0.49413353204727173, -1.2795377969741821, -0.3565543293952942, -0.36341241002082825, -0.3841519057750702, 0.9020102620124817, 0.09747838973999023, 1.5590161085128784, 0.5611403584480286, -0.6120493412017822, 0.37847962975502014, -0.28502675890922546, 0.369918555021286, 0.8055998682975769, 0.23903019726276398, 0.4685099720954895, -0.6125521063804626, -0.2643093764781952, -0.3130423426628113, 0.964385449886322, 0.7255434393882751, 0.02789497561752796, -0.15479964017868042, -0.5235073566436768, 1.0429741144180298, -0.013618743978440762, -0.1695646494626999, 0.8864194750785828, -0.08261746168136597, -0.7134296298027039, -0.6772289276123047, -0.17794577777385712, 0.01524608489125967, -0.5986485481262207, 0.4689785838127136, 1.1214878559112549, 0.16544559597969055, 0.3779964745044708, -0.006305288523435593, -0.6798388361930847, 0.28380128741264343, -0.3099934756755829, -0.17214679718017578, -1.2488261461257935, -0.7608848214149475, -0.28058409690856934, 0.22984488308429718]",3215
19,444,"[-0.8063705563545227, 0.15738902986049652, -1.268236756324768, 0.6725869178771973, -0.07648590207099915, -0.5045420527458191, 0.370400071144104, -0.5299632549285889, 0.547599196434021, -0.31235817074775696, -0.5198984146118164, 0.4025184214115143, -0.5248854756355286, -0.47379031777381897, 0.1432255655527115, -0.4335586130619049, -0.23532913625240326, 0.2635144591331482, 0.2985263168811798, -1.1886979341506958, 1.0127475261688232, 0.8070155382156372, -0.3487910032272339, -0.182748481631279, -0.20160575211048126, -1.071390986442566, 0.5214287638664246, -1.1213133335113525, 0.4171946048736572, 0.2553652822971344, 0.24094240367412567, 0.6685253381729126, 0.15187126398086548, 0.11556046456098557, -0.012639512307941914, 0.11368189752101898, -0.11639733612537384, 0.9083948731422424, -0.7011700868606567, 0.6533153057098389, -0.45238596200942993, 0.3336459696292877, -0.7562463283538818, 0.5808694362640381, 0.4640792906284332, -0.03311826288700104, 0.3302253484725952, 1.159122109413147, 0.20792239904403687, 0.22353874146938324, -0.9817942976951599, 0.040735166519880295, 0.3813928961753845, -0.5392224788665771, 0.5381379723548889, -1.2640719413757324, -2.0985734462738037, 0.07336953282356262, 0.5054692029953003, -0.6539404392242432, 0.2750396430492401, -0.3651323914527893, -0.6513257622718811, 0.7269039750099182]",394
20,172,"[-0.013279520906507969, -0.3526630997657776, -0.7632828950881958, 0.8750068545341492, 0.7400834560394287, 0.6736475825309753, 0.25039640069007874, -0.028337949886918068, 1.1596040725708008, 1.0593671798706055, -0.30497288703918457, 0.1616811603307724, -1.033473253250122, -0.34714165329933167, -0.4739624857902527, -1.2269885540008545, -0.3333211839199066, -1.051498293876648, 0.570848286151886, -0.20878659188747406, 1.769485592842102, -0.4690646529197693, -0.06953663378953934, -1.1860326528549194, 0.17437128722667694, 0.41618847846984863, 0.10794759541749954, -1.0417691469192505, -0.12188685685396194, 0.23457399010658264, 0.6573245525360107, -0.8256413340568542, -0.6936476826667786, -0.603053629398346, -0.3451428711414337, -0.2017914354801178, 0.9925701022148132, 0.4949425458908081, -0.7734454870223999, 0.38250064849853516, -1.3918718099594116, -0.49957260489463806, -1.090180516242981, 0.19050149619579315, -0.17878183722496033, 0.524129331111908, -1.6583497524261475, 1.123653531074524, 1.087418794631958, -1.3728840351104736, 0.0805056244134903, -0.04725978150963783, -0.10142583400011063, -1.1188559532165527, 1.1652311086654663, -0.5649135112762451, 0.4383229613304138, 0.25630587339401245, 1.2266926765441895, 0.9882019758224487, -0.7355102300643921, -0.4309103488922119, -0.3606845438480377, -0.9896834492683411]",1814
